,1-ZCRm,2-Energym,3-EnergyEntropym,4-SpectralCentroidm,5-SpectralSpreadm,6-SpectralEntropym,7-SpectralFluxm,8-SpectralRolloffm,9-MFCCs1m,10-MFCCs2m,11-MFCCs3m,12-MFCCs4m,13-MFCCs5m,14-MFCCs6m,15-MFCCs7m,16-MFCCs8m,17-MFCCs9m,18-MFCCs10m,19-MFCCs11m,20-MFCCs12m,21-MFCCs13m,22-ChromaVector1m,23-ChromaVector2m,24-ChromaVector3m,25-ChromaVector4m,26-ChromaVector5m,27-ChromaVector6m,28-ChromaVector7m,29-ChromaVector8m,30-ChromaVector9m,31-ChromaVector10m,32-ChromaVector11m,33-ChromaVector12m,34-ChromaDeviationm,35-ZCRstd,36-Energystd,37-EnergyEntropystd,38-SpectralCentroidstd,39-SpectralSpreadstd,40-SpectralEntropystd,41-SpectralFluxstd,42-SpectralRolloffstd,43-MFCCs1std,44-MFCCs2std,45-MFCCs3std,46-MFCCs4std,47-MFCCs5std,48-MFCCs6std,49-MFCCs7std,50-MFCCs8std,51-MFCCs9std,52-MFCCs10std,53-MFCCs11std,54-MFCCs12std,55-MFCCs13std,56-ChromaVector1std,57-ChromaVector2std,58-ChromaVector3std,59-ChromaVector4std,60-ChromaVector5std,61-ChromaVector6std,62-ChromaVector7std,63-ChromaVector8std,64-ChromaVector9std,65-ChromaVector10std,66-ChromaVector11std,67-ChromaVector12std,68-ChromaDeviationstd,69-BPM,70-BPMconf,71-BPMessentia,72-bpm_histogram_first_peak_bpm,73-bpm_histogram_first_peak_weight,74-bpm_histogram_second_peak_bpm,75-bpm_histogram_second_peak_spread,76-bpm_histogram_second_peak_weight,77-danceability,78-beats_loudness.mean,79-beats_loudness.stdev,80-onset_rate,81-beats_loudness_band_ratio.mean1,82-beats_loudness_band_ratio.mean2,83-beats_loudness_band_ratio.mean3,84-beats_loudness_band_ratio.mean4,85-beats_loudness_band_ratio.mean5,86-beats_loudness_band_ratio.mean6,87-beats_loudness_band_ratio.stdev1,88-beats_loudness_band_ratio.stdev2,89-beats_loudness_band_ratio.stdev3,90-beats_loudness_band_ratio.stdev4,91-beats_loudness_band_ratio.stdev5,92-beats_loudness_band_ratio.stdev6,class
0,0.136402374,0.088891104,3.20123824,0.262813329,0.249213529,1.114199872,0.007004238,0.256620118,-22.72339683,1.594195613,0.011357359,0.204555289,0.042099031,0.048606018,0.158443131,0.118913024,-0.147670313,-0.185954346,-0.026410419,-0.007328872,-0.017859089,0.011582329,0.008744849,0.041101584,0.014489829,0.025712445,0.012586994,0.060173016,0.002863631,0.004630028,0.009579945,0.026083864,0.004161199,0.032189007,0.050145056,0.047323794,0.102974527,0.0412939,0.017728163,0.414888101,0.005868095,0.133820019,0.838431754,0.505904985,0.356218697,0.336119855,0.288939173,0.278678495,0.283467346,0.300334165,0.287470108,0.296612848,0.258563604,0.238378528,0.194736189,0.013137648,0.011663336,0.032053642,0.015452953,0.020454346,0.012944144,0.04642047,0.003431152,0.004980752,0.010820467,0.024006705,0.005201286,0.015061396,133.3333333,0.132826827,127.0188446,126,0.323886693,120,0,0.019841271,1.129621029,0.065689981,0.058285199,3.782944441,0.429117292,0.185144171,0.216382116,0.102917224,0.053618051,0.060700104,0.361006379,0.229552269,0.260984927,0.145522073,0.078291424,0.082724303,BigRoom
1,0.117052581,0.108396761,3.194090783,0.247679307,0.250297347,1.065839902,0.005388349,0.199848676,-21.77551854,1.261160541,-0.113251926,0.001653818,-0.052702557,0.204267709,0.153088797,0.067261964,-0.013240468,-0.059427463,-0.008689439,0.114285151,0.171060734,0.006535702,0.002645724,0.086497238,0.00839212,0.016444723,0.009004817,0.087899042,0.002472112,0.006549527,0.007411421,0.015384457,0.005978679,0.041111686,0.043714328,0.04373228,0.099330036,0.039379078,0.018942731,0.407141726,0.003613853,0.110328836,0.624065814,0.477020265,0.353094163,0.335608542,0.283895145,0.269594989,0.244169473,0.246702475,0.25726255,0.272075865,0.269508227,0.222440518,0.187483136,0.006761188,0.00315232,0.058943815,0.009012534,0.016108915,0.00938667,0.07171009,0.004460804,0.006441909,0.007469297,0.015501268,0.005589173,0.019343329,120,0.11285347,125.0169067,126,0.368421078,120,0,0.004032258,1.147273302,0.045749422,0.028421374,4.44121027,0.515161633,0.075366236,0.195633784,0.083872817,0.07725478,0.07078664,0.345559925,0.106580839,0.198952124,0.095643774,0.100740597,0.072654098,BigRoom
2,0.085314075,0.128537063,3.123834735,0.217220167,0.228655436,0.789820592,0.008251079,0.156862523,-22.47249949,1.424889349,0.186718253,0.417081536,0.076317638,0.190834684,-0.016272388,0.075076504,0.107904358,0.216916487,0.095642616,0.021047199,-0.036938025,0.007144112,0.002959774,0.220488132,0.005638902,0.010150187,0.007452276,0.04391818,0.001240248,0.00434892,0.007989973,0.017624161,0.00263578,0.066039923,0.032923266,0.037622465,0.117722555,0.041511577,0.02265038,0.3400847,0.007697279,0.085776349,1.028880386,0.448772097,0.297984726,0.266796554,0.258320266,0.275068289,0.218450375,0.19841444,0.210191075,0.212570106,0.204470864,0.197648463,0.164926114,0.007835995,0.003079487,0.093878139,0.005692393,0.008213302,0.005451042,0.042909976,0.001529254,0.00455673,0.00772437,0.017483421,0.002901622,0.022203068,133.3333333,0.123405363,128.1138763,129,0.391705036,123,0.099999964,0.035714287,1.082803607,0.059116803,0.038761199,3.94126153,0.653815508,0.09865468,0.067534745,0.085351653,0.052988883,0.064381175,0.250984937,0.14831911,0.094546422,0.085439973,0.039289027,0.062705286,BigRoom
3,0.103045893,0.16700555,3.151049766,0.233637653,0.245044438,0.967371986,0.006568539,0.168170582,-21.47147159,1.463249316,0.226521435,0.404263967,0.11742288,0.081774961,0.0541241,0.164911334,0.014908713,0.117152494,0.027791874,-0.063017543,-0.052431735,0.010710726,0.003340301,0.125510289,0.005727798,0.014689268,0.006321178,0.072165565,0.001627376,0.003493863,0.011440519,0.032198603,0.004738311,0.046173473,0.036369317,0.061978151,0.134654343,0.032552386,0.020036665,0.365125944,0.00521546,0.086372972,0.76983835,0.42537255,0.245399202,0.260061845,0.224051538,0.207617141,0.199496506,0.20788448,0.189973208,0.185548949,0.187329216,0.177592677,0.164642207,0.008306665,0.003528609,0.061433935,0.005446593,0.012387515,0.004987427,0.058012172,0.001589525,0.003515142,0.009455574,0.023166132,0.004165378,0.015379375,133.3333333,0.158876181,128.2574615,129,0.325991213,123,0,0.063241109,1.083060741,0.10180486,0.077543899,4.049583912,0.691123307,0.092158824,0.066240095,0.081179105,0.059994977,0.046833336,0.316349447,0.11978358,0.092761725,0.110707998,0.079089105,0.061870828,BigRoom
4,0.151701956,0.148411948,3.194361348,0.293710847,0.267225516,1.352688086,0.003873527,0.291921926,-21.3712977,1.188024273,0.184244466,0.3634239,0.232191258,0.11227325,0.10738687,0.159504729,0.067368856,-0.018851801,0.09143376,0.11724661,0.091605597,0.009627314,0.004032119,0.076133477,0.008176461,0.016270861,0.009926921,0.088350008,0.002645311,0.004051998,0.011084422,0.023929411,0.002248185,0.036761184,0.055219371,0.041149106,0.122320741,0.036637766,0.017733912,0.458641706,0.002900237,0.148408738,1.023523683,0.431201369,0.352091225,0.327499889,0.237220622,0.230727892,0.236558944,0.257184243,0.270382664,0.242056808,0.229677669,0.211403225,0.179639794,0.010861276,0.005390102,0.04700727,0.008598487,0.015587296,0.009180866,0.069502103,0.003944846,0.004129008,0.011329911,0.028194826,0.002638859,0.019083517,133.3333333,0.190707857,128.0862732,129,0.361445785,123,0,0.011764706,1.05389607,0.052604362,0.022370894,2.858039618,0.651494741,0.05351343,0.080168746,0.077268325,0.062124431,0.093716092,0.316923469,0.087054558,0.139082894,0.095218681,0.071244709,0.095066495,BigRoom
5,0.127020779,0.15350797,3.222008459,0.261687371,0.257359285,1.089841973,0.00494493,0.230039911,-21.23529318,1.541789943,0.04895258,0.194407428,0.063737916,0.058410928,0.0510667,0.071779438,0.00669542,0.011724482,0.068287786,0.1303012,0.1041102,0.00946478,0.005907571,0.07978575,0.011573676,0.014771056,0.012326908,0.078997416,0.002104321,0.005254055,0.012019975,0.03182695,0.002446735,0.041931367,0.050227504,0.04812762,0.073136847,0.043936331,0.019324563,0.461998951,0.003707674,0.138282165,0.872543712,0.418161231,0.323819434,0.33207801,0.240906473,0.212905462,0.224465492,0.225630199,0.236375685,0.227529166,0.232733139,0.216233735,0.193778096,0.009599856,0.008034552,0.058471398,0.011029589,0.011855043,0.011422173,0.059964386,0.00298524,0.006531605,0.010342344,0.025012315,0.003035047,0.019481964,133.3333333,0.169017632,127.9248123,129,0.404444396,123,0.368421078,0.047430828,0.982937872,0.036381561,0.013788851,3.382985592,0.380562633,0.144766003,0.167327315,0.130081609,0.083419532,0.115436651,0.220284417,0.129079506,0.127131373,0.096457526,0.058373213,0.088170297,BigRoom
6,0.123367951,0.106222999,3.167856519,0.245450884,0.245343929,1.107048613,0.008420064,0.217162902,-22.68385893,1.405245049,0.118804482,0.646596604,0.090759338,0.174607881,0.053051866,0.024189898,-0.045511275,0.153692499,0.126708592,0.02770568,-0.152222177,0.014487275,0.00242159,0.092610548,0.01001707,0.021776263,0.006401807,0.044046705,0.003399317,0.007901571,0.013060751,0.022754967,0.002966519,0.03450335,0.038482518,0.056354333,0.121441275,0.036902513,0.019334991,0.368031997,0.007097755,0.100025809,0.861337651,0.553328053,0.28588134,0.26599309,0.253462126,0.214226231,0.214864957,0.208280152,0.20566826,0.220710904,0.234448135,0.194786612,0.17605888,0.016259497,0.002349441,0.051199654,0.01280092,0.019961371,0.005170701,0.040714944,0.003397439,0.006966296,0.011468362,0.019007052,0.002789987,0.013330932,133.3333333,0.259915389,131.7584381,133,0.31122452,126,0.166666627,0.099206351,1.039814472,0.071815036,0.06256105,3.016356468,0.701660395,0.134236306,0.064578995,0.064437129,0.038325623,0.034027115,0.304922283,0.165098757,0.09163747,0.095941693,0.057410728,0.053623624,BigRoom
7,0.13999143,0.084714533,3.148200547,0.267108604,0.259142803,1.188631591,0.007939596,0.259450662,-22.70711266,1.46802162,-0.155474459,0.397936551,0.231868498,0.164324109,0.048341747,0.041451392,-0.10760135,-0.066743524,0.032688406,0.070858739,0.082799383,0.007846943,0.002854757,0.077125019,0.006970732,0.016585905,0.012131789,0.101856004,0.002467187,0.004143513,0.007563438,0.025500721,0.003044157,0.039546354,0.046046746,0.042377556,0.112597255,0.042617642,0.018270356,0.376228105,0.006254515,0.148535164,0.898902719,0.373388825,0.329994977,0.266863057,0.280571948,0.217526795,0.184813055,0.194407039,0.189261533,0.190610009,0.18746417,0.17319085,0.164630588,0.007715908,0.002954544,0.056534422,0.006454486,0.01272939,0.010177111,0.059557056,0.002541915,0.00381904,0.006957897,0.024561915,0.002650194,0.014860754,133.3333333,0.198668442,127.9519348,129,0.395833313,123,0.300000012,0.027667984,1.105690837,0.047184002,0.032885291,4.632856846,0.505804718,0.062914118,0.097389862,0.166012198,0.067639098,0.123661771,0.278275728,0.045506425,0.107280284,0.171771154,0.070875503,0.101752803,BigRoom
8,0.117622841,0.146963921,3.182972756,0.243684161,0.244967182,1.098950639,0.005445883,0.195798296,-20.83837098,1.456375041,0.01675265,0.266687745,0.102611663,0.083945133,-0.004215144,-0.009151268,-0.077274992,0.090643429,0.039426291,0.081962125,0.0206185,0.009717847,0.003508598,0.088331797,0.008658871,0.012224788,0.00892766,0.058770786,0.002740159,0.008298326,0.019192664,0.02703635,0.003149596,0.036183845,0.03287858,0.04851786,0.092920229,0.029538631,0.016451657,0.331727214,0.003241634,0.083091921,0.637469048,0.340480307,0.284575967,0.268526073,0.295905345,0.246135868,0.23133625,0.212381849,0.205245785,0.194640423,0.205516644,0.214194586,0.191229272,0.009443693,0.003292796,0.048845863,0.008002689,0.009408795,0.008502106,0.053255867,0.002812325,0.007646288,0.013201575,0.024575568,0.003015834,0.013850736,133.3333333,0.148969476,131.7198944,133,0.358744383,126,0.225806415,0.092664093,1.040360689,0.048429519,0.023284132,3.566299915,0.414388329,0.165057153,0.153553009,0.144670054,0.08044111,0.075499296,0.238933995,0.107481956,0.148020312,0.125666335,0.066178963,0.054904278,BigRoom
9,0.137435471,0.127165033,3.118039379,0.298079135,0.279395399,1.076887989,0.006737836,0.271957048,-22.96167832,1.705572986,0.135822429,0.123150216,-0.005345164,-0.025077533,-0.05248425,0.030148798,0.090759646,0.138381861,0.110322503,0.041654076,0.042223488,0.007937814,0.003106832,0.117965243,0.004994573,0.012573582,0.006256695,0.073306168,0.001627428,0.00530071,0.013403297,0.024953872,0.003664212,0.043026209,0.064339574,0.067662644,0.180093219,0.057388023,0.020618438,0.530788957,0.005489498,0.197681421,1.31186695,0.466432096,0.358960691,0.337639513,0.310628589,0.260697735,0.242620802,0.23208528,0.218814121,0.269037359,0.208199994,0.20470374,0.193429652,0.008389756,0.003942765,0.071010778,0.005265987,0.013334908,0.005575546,0.061239382,0.00240719,0.006268029,0.012650288,0.024556049,0.004807621,0.019151841,133.3333333,0.172005044,131.7874908,133,0.338912129,120,0.5,0.026923077,1.207376003,0.055439338,0.029090984,4.457875252,0.634217978,0.106337011,0.091244869,0.054780349,0.039670404,0.09974923,0.340329736,0.111232311,0.15051657,0.10385032,0.077901773,0.122692592,BigRoom
